,id,id_str,screen_name,confirmed_politician,state
4802,628530620,628530620,SenatorDKelley,1,Maryland
4803,1233418141,1233418141,EricBromwell,1,Maryland
4804,15518446,15518446,_MattSparks,1,Maryland
4805,460341916,460341916,SenRonYoung,1,Maryland
4806,496514982,496514982,RealDebRey,1,Maryland
4807,482307667,482307667,Del_Cullison,1,Maryland
4808,444678141,444678141,DanMorhaim,1,Maryland
4809,2379543723,2379543723,MichaelFor27B,1,Maryland
4810,476328585,476328585,AnneArundelGOP,1,Maryland
4811,830794539321421824,830794539321421824,Smith4Delegate,1,Maryland
4812,855125053813469184,855125053813469184,DavidTBlair,1,Maryland
4813,2940989201,2940989201,MOHouseGOP,1,Missouri
4814,48469903,48469903,herbmcmillan,1,Maryland
4815,1683474955,1683474955,MBCarozzaSenate,1,Maryland
4816,1563402026,1563402026,ReynoldsGregg,1,Iowa
4817,107751422,107751422,SenatorWaugh,1,Maryland
4818,389034808,389034808,JonCardin,1,Maryland
4819,21231110,21231110,DPOC,1,California
4820,513812971,513812971,carlandertonjr,1,Maryland
4821,2291618748,2291618748,JimBrochin,1,Maryland
4822,348774571,348774571,BaltimoreYDS,1,Maryland
4823,1465853784,1465853784,patyoung44B,1,Maryland
4824,2197877738,2197877738,DianaMFennell,1,Maryland
4825,107147014,107147014,delwarmill,1,Maryland
4826,1056412284,1056412284,SenatorHershey,1,Maryland
4827,49778115,49778115,SidSaab,1,Maryland
4828,348414446,348414446,LCharkoudian,1,Maryland
4829,965729280780062721,965729280780062720,people4jealous,1,Maryland
4830,3081969927,3081969927,Glenn_Ivey,1,Maryland
4831,2216388822,2216388822,Politi_Carlo,1,Maryland
4832,347861545,347861545,EmilyShetty,1,Maryland
4833,27641259,27641259,WanikaFisher,1,Maryland
4834,3308339003,3308339003,Davis4MD,1,Maryland
4835,2999709538,2999709538,BaltCoGOP,1,Maryland
4836,236490620,236490620,JazzforMaryland,1,Maryland
4837,1569071766,1569071766,ShirleyNPulliam,1,Maryland
4838,42854756,42854756,katiefryhester,1,Maryland
4839,464103835,464103835,AttyVictorR,1,Maryland
4840,26229545,26229545,MattMorgan29A,1,Maryland
4841,2691270973,2691270973,HoCoDemParty,1,Maryland
4842,1962780481,1962780481,Adams4Maryland,1,Maryland
4843,2337567606,2337567606,RonForMaryland,1,Maryland
4844,893199420220747776,893199420220747776,SaraLove4MD,1,Maryland
4845,2570124565,2570124565,LilyQiMaryland,1,Maryland
4846,2157896753,2157896753,marksoochang,1,Maryland
4847,705787571461345281,705787571461345280,DelPamQueen,1,Maryland
